date,part_id,category,supplier,region,demand,inventory,lead_time_days,price_usd
2021-01-01,PART_121,Valve,SupplierC,Asia Pacific,12,675,11,1020.17
2021-01-01,PART_122,Valve,SupplierA,Europe,40,1890,3,2366.71
2021-01-01,PART_123,Pump,SupplierA,Latin America,49,2160,27,1310.12
2021-01-01,PART_124,Valve,SupplierA,North America,57,2790,13,3895.23
2021-01-01,PART_125,Filter,SupplierA,Asia Pacific,63,2565,11,607.84
2021-01-01,PART_126,Valve,SupplierC,Europe,16,720,5,4524.2
2021-01-01,PART_127,Filter,SupplierA,Europe,66,3330,5,2249.69
2021-01-01,PART_128,Filter,SupplierA,Asia Pacific,49,2745,17,2891.4
2021-01-01,PART_129,Sensor,SupplierB,Europe,29,1890,18,214.14
2021-01-01,PART_130,Valve,SupplierB,Latin America,22,1710,17,2473.87
2021-01-01,PART_131,Pump,SupplierC,Asia Pacific,17,855,15,725.61
2021-01-01,PART_132,Pump,SupplierC,Europe,27,1845,21,1580.52
2021-01-01,PART_133,Valve,SupplierA,Europe,63,3555,22,2305.83
2021-01-01,PART_134,Controller,SupplierA,Europe,7,450,13,2570.93
2021-01-01,PART_135,Filter,SupplierC,Europe,31,2205,28,1346.77
2021-01-01,PART_136,Pump,SupplierB,Asia Pacific,46,3375,7,4087.84
2021-01-01,PART_137,Filter,SupplierD,Europe,39,2115,26,2999.3
2021-01-01,PART_138,Sensor,SupplierB,Asia Pacific,34,2520,11,1037.31
2021-01-01,PART_139,Filter,SupplierA,Asia Pacific,13,720,12,2869.06
2021-01-01,PART_140,Pump,SupplierC,North America,51,2385,10,231.25
2021-01-01,PART_141,Valve,SupplierA,Asia Pacific,37,2655,5,3616.82
2021-01-01,PART_142,Valve,SupplierC,North America,3,225,23,3408.21
2021-01-01,PART_143,Valve,SupplierB,Latin America,59,3465,3,4864.11
2021-01-01,PART_144,Filter,SupplierB,Asia Pacific,26,2880,15,3553.16
2021-01-01,PART_145,Pump,SupplierB,North America,19,1620,6,2966.92
2021-01-01,PART_146,Sensor,SupplierD,North America,27,2655,12,591.5
2021-01-01,PART_147,Valve,SupplierA,Europe,12,765,27,2655.08
2021-01-01,PART_148,Pump,SupplierA,Europe,13,855,5,3140.05
2021-01-01,PART_149,Filter,SupplierD,Europe,43,3420,7,2824.46
2021-01-01,PART_150,Valve,SupplierA,North America,37,3150,12,4187.43
2021-01-01,PART_151,Controller,SupplierB,Latin America,31,1980,13,3325.99
2021-01-01,PART_152,Sensor,SupplierB,Latin America,27,1935,29,4463.11
2021-01-01,PART_153,Filter,SupplierD,Latin America,4,225,24,4599.3
2021-01-01,PART_154,Pump,SupplierD,North America,12,1125,15,2358.42
2021-01-01,PART_155,Controller,SupplierC,Europe,38,3465,6,4710.12
2021-01-01,PART_156,Filter,SupplierB,Asia Pacific,15,900,8,4735.92
2021-01-01,PART_157,Pump,SupplierC,Europe,64,3555,19,876.44
2021-01-01,PART_158,Controller,SupplierC,North America,55,3330,7,1763.12
2021-01-01,PART_159,Sensor,SupplierB,North America,25,1935,27,4457.77
2021-01-01,PART_160,Pump,SupplierB,Latin America,55,2475,5,3701.17
2021-01-01,PART_161,Valve,SupplierA,Asia Pacific,29,3375,4,3421.44
2021-01-01,PART_162,Controller,SupplierD,Asia Pacific,42,2385,27,2932.15
2021-01-01,PART_163,Controller,SupplierB,North America,4,225,28,4711.12
2021-01-01,PART_164,Valve,SupplierC,Latin America,36,2160,4,2658.04
2021-01-01,PART_165,Filter,SupplierA,Europe,14,990,14,2370.99
2021-01-01,PART_166,Pump,SupplierB,Europe,13,1035,5,3587.87
2021-01-01,PART_167,Controller,SupplierC,North America,58,3015,20,4466.74
2021-01-01,PART_168,Filter,SupplierA,North America,8,495,8,4345.76
2021-01-01,PART_169,Filter,SupplierB,Asia Pacific,17,1035,29,3947.66
2021-01-01,PART_170,Sensor,SupplierC,Europe,39,2655,19,2059.33
2021-01-01,PART_171,Controller,SupplierC,Latin America,23,1890,11,855.67
2021-01-01,PART_172,Pump,SupplierA,Europe,11,630,7,2932.35
2021-01-01,PART_173,Valve,SupplierA,Europe,31,1980,15,3351.37
2021-01-01,PART_174,Controller,SupplierB,Latin America,75,3330,28,2138.47
2021-01-01,PART_175,Valve,SupplierD,North America,50,3465,8,2710.09
2021-01-01,PART_176,Filter,SupplierC,Asia Pacific,20,945,4,4654.54
2021-01-01,PART_177,Filter,SupplierB,Latin America,29,1440,14,622.18
2021-01-01,PART_178,Controller,SupplierC,Europe,44,2520,28,767.32
2021-01-01,PART_179,Valve,SupplierA,Asia Pacific,47,3060,19,1616.45
2021-01-01,PART_180,Sensor,SupplierC,Europe,42,2475,19,4768.45
2021-01-01,PART_181,Pump,SupplierC,Europe,9,540,6,4497.09
2021-01-01,PART_182,Filter,SupplierB,North America,22,1080,11,2945.64
2021-01-01,PART_183,Filter,SupplierC,Latin America,55,2475,11,2203.43
2021-01-01,PART_184,Pump,SupplierC,North America,76,2970,25,3421.63
2021-01-01,PART_185,Valve,SupplierB,Asia Pacific,5,360,14,2143.67
2021-01-01,PART_186,Pump,SupplierA,Asia Pacific,22,945,8,2449.14
2021-01-01,PART_187,Filter,SupplierC,Latin America,44,2385,24,1383.11
2021-01-01,PART_188,Controller,SupplierB,Asia Pacific,15,765,23,2286.68
2021-01-01,PART_189,Sensor,SupplierD,North America,10,585,22,1165.51
2021-01-01,PART_190,Pump,SupplierD,Asia Pacific,42,2340,17,981.6
2021-01-01,PART_191,Sensor,SupplierA,Asia Pacific,20,1260,7,2834.46
2021-01-01,PART_192,Controller,SupplierA,Latin America,65,3150,9,2719.67
2021-01-01,PART_193,Valve,SupplierB,Europe,47,2880,19,809.74
2021-01-01,PART_194,Sensor,SupplierA,North America,69,2970,17,2898.47
2021-01-01,PART_195,Controller,SupplierB,Europe,36,3150,9,1766.05
2021-01-01,PART_196,Valve,SupplierD,Europe,47,2385,24,1446.44
2021-01-01,PART_197,Filter,SupplierB,Latin America,46,3510,7,3541.13
2021-01-01,PART_198,Controller,SupplierD,Europe,76,3285,6,3230.44
2021-01-01,PART_199,Controller,SupplierC,Latin America,46,1980,22,1999.61
2021-01-01,PART_200,Filter,SupplierB,North America,24,855,20,3533.19
2021-01-02,PART_001,Controller,SupplierA,Asia Pacific,177,3341,23,822.29
2021-01-02,PART_002,Filter,SupplierC,Latin America,85,2782,21,3545.66
2021-01-02,PART_003,Sensor,SupplierC,Latin America,18,795,24,4498.41
2021-01-02,PART_004,Controller,SupplierA,Europe,30,1274,4,144.26
2021-01-02,PART_005,Filter,SupplierD,North America,51,1934,25,3352.73
2021-01-02,PART_006,Valve,SupplierA,Europe,59,2545,29,2055.65
2021-01-02,PART_007,Sensor,SupplierB,Latin America,59,2816,12,2207.34
2021-01-02,PART_008,Filter,SupplierC,Latin America,42,1280,10,2033.64
2021-01-02,PART_009,Filter,SupplierA,North America,51,2114,12,1154.09
2021-01-02,PART_010,Valve,SupplierC,Latin America,66,2253,21,759.25
2021-01-02,PART_011,Pump,SupplierC,Europe,37,1363,20,748.84
2021-01-02,PART_012,Filter,SupplierC,North America,43,2149,17,960.35
2021-01-02,PART_013,Filter,SupplierC,Europe,41,1457,16,2957.79
2021-01-02,PART_014,Valve,SupplierB,North America,85,2948,7,1990.32
2021-01-02,PART_015,Valve,SupplierA,North America,75,3414,25,1440.82
2021-01-02,PART_016,Valve,SupplierA,North America,15,572,4,3992.94
2021-01-02,PART_017,Pump,SupplierA,Asia Pacific,25,1398,4,1531.43
2021-01-02,PART_018,Pump,SupplierA,Latin America,79,3211,7,2716.84
2021-01-02,PART_019,Sensor,SupplierA,Latin America,10,306,11,4499.13
2021-01-02,PART_020,Controller,SupplierA,Latin America,70,2281,12,1043.02
2021-01-02,PART_021,Pump,SupplierD,North America,76,3287,19,3366.44
2021-01-02,PART_022,Sensor,SupplierD,North America,26,1223,27,1905.56
2021-01-02,PART_023,Valve,SupplierA,Europe,72,2590,8,4870.47
2021-01-02,PART_024,Filter,SupplierA,Europe,10,437,7,3053.31
2021-01-02,PART_025,Sensor,SupplierA,Latin America,84,3379,21,2903.29
2021-01-02,PART_026,Sensor,SupplierD,Latin America,60,2096,27,1730.56
2021-01-02,PART_027,Controller,SupplierD,Asia Pacific,26,1091,3,2764.89
2021-01-02,PART_028,Controller,SupplierA,North America,25,1661,8,1279.98
2021-01-02,PART_029,Pump,SupplierA,North America,55,1983,7,491.5
2021-01-02,PART_030,Sensor,SupplierA,Latin America,49,1700,13,1343.48
2021-01-02,PART_031,Filter,SupplierA,Latin America,68,2580,28,2962.36
2021-01-02,PART_032,Controller,SupplierD,Europe,12,569,17,1991.82
2021-01-02,PART_033,Filter,SupplierD,Latin America,33,1010,7,1310.88
2021-01-02,PART_034,Pump,SupplierB,Europe,61,2195,8,144.84
2021-01-02,PART_035,Sensor,SupplierD,Europe,22,873,22,1014.05
2021-01-02,PART_036,Filter,SupplierB,Asia Pacific,82,2925,20,1444.31
2021-01-02,PART_037,Valve,SupplierD,Latin America,16,572,3,1786.75
2021-01-02,PART_038,Filter,SupplierC,North America,48,1717,7,1837.56
2021-01-02,PART_039,Filter,SupplierC,Asia Pacific,6,220,28,4459.61
2021-01-02,PART_040,Controller,SupplierC,Europe,50,1662,29,2789.67
2021-01-02,PART_041,Sensor,SupplierA,Latin America,64,2663,24,252.23
2021-01-02,PART_042,Pump,SupplierD,Asia Pacific,53,1622,7,267.17
2021-01-02,PART_043,Filter,SupplierC,Asia Pacific,69,2410,28,2306.17
2021-01-02,PART_044,Filter,SupplierC,Europe,94,3409,3,897.11
2021-01-02,PART_045,Sensor,SupplierA,Asia Pacific,90,2971,20,2900.94
2021-01-02,PART_046,Filter,SupplierB,Europe,54,1959,26,4206.65
2021-01-02,PART_047,Valve,SupplierD,Asia Pacific,90,3223,23,2598.57
2021-01-02,PART_048,Filter,SupplierD,Latin America,102,3109,8,1946.61
2021-01-02,PART_049,Filter,SupplierA,North America,91,2935,28,3090.11
2021-01-02,PART_050,Pump,SupplierD,North America,38,1439,5,2367.9
2021-01-02,PART_051,Filter,SupplierB,Europe,71,2539,29,1342.35
2021-01-02,PART_052,Pump,SupplierB,North America,61,2176,14,2612.74
2021-01-02,PART_053,Filter,SupplierA,North America,9,306,13,3496.22
2021-01-02,PART_054,Controller,SupplierD,Europe,62,2063,3,3199.91
2021-01-02,PART_055,Valve,SupplierD,Latin America,75,2371,4,755.19
2021-01-02,PART_056,Pump,SupplierD,Europe,47,1897,15,3158.26
2021-01-02,PART_057,Controller,SupplierA,Europe,64,1964,9,4927.38
2021-01-02,PART_058,Sensor,SupplierB,Latin America,47,1613,25,4306.19
2021-01-02,PART_059,Valve,SupplierD,North America,81,2579,14,2723.37
2021-01-02,PART_060,Valve,SupplierB,North America,84,2360,9,2718.88
2021-01-02,PART_061,Sensor,SupplierC,Europe,85,3015,15,2145.89
2021-01-02,PART_062,Controller,SupplierD,Latin America,75,2622,26,1709.97
2021-01-02,PART_063,Controller,SupplierC,Asia Pacific,71,1940,17,1973.26
2021-01-02,PART_064,Valve,SupplierC,Latin America,28,792,7,831.75
2021-01-02,PART_065,Filter,SupplierC,Europe,90,2971,16,4418.13
2021-01-02,PART_066,Filter,SupplierD,Europe,79,2754,17,2264.58
2021-01-02,PART_067,Valve,SupplierA,Asia Pacific,80,2919,13,1244.84
2021-01-02,PART_068,Pump,SupplierC,Asia Pacific,106,3454,3,3835.24
2021-01-02,PART_069,Sensor,SupplierB,Latin America,66,2467,6,4672.1
2021-01-02,PART_070,Filter,SupplierD,North America,31,1182,24,3310.9
2021-01-02,PART_071,Sensor,SupplierB,North America,16,611,8,4597.9
2021-01-02,PART_072,Sensor,SupplierB,North America,23,958,15,4899.51
2021-01-02,PART_073,Valve,SupplierB,Asia Pacific,91,2584,26,2497.97
2021-01-02,PART_074,Controller,SupplierB,Europe,46,1704,6,1390.46
2021-01-02,PART_075,Valve,SupplierB,Latin America,22,789,28,102.33
2021-01-02,PART_076,Filter,SupplierA,Europe,10,395,17,2464.26
2021-01-02,PART_077,Filter,SupplierA,Latin America,69,2719,20,2719.53
2021-01-02,PART_078,Filter,SupplierA,North America,88,3388,25,4429.22
2021-01-02,PART_079,Sensor,SupplierD,Asia Pacific,44,1354,13,4013.83
2021-01-02,PART_080,Filter,SupplierB,North America,33,1490,29,3045.99
2021-01-02,PART_081,Valve,SupplierC,Europe,44,1886,27,4368.0
2021-01-02,PART_082,Controller,SupplierC,North America,47,1976,27,2573.83
2021-01-02,PART_083,Sensor,SupplierB,Europe,9,393,11,1237.66
2021-01-02,PART_084,Filter,SupplierD,Europe,136,1458,6,2471.02
2021-01-02,PART_085,Valve,SupplierA,Asia Pacific,68,2191,23,4683.04
2021-01-02,PART_086,Filter,SupplierD,Latin America,46,2018,5,1546.36
2021-01-02,PART_087,Filter,SupplierD,Europe,53,2149,17,93.09
2021-01-02,PART_088,Valve,SupplierC,Latin America,34,1974,21,1464.6
2021-01-02,PART_089,Sensor,SupplierC,Asia Pacific,71,3067,21,4392.22
2021-01-02,PART_090,Controller,SupplierD,Asia Pacific,73,2991,5,3123.72
2021-01-02,PART_091,Controller,SupplierD,Europe,59,2201,20,4769.25
2021-01-02,PART_092,Filter,SupplierB,Latin America,23,838,8,3425.97
2021-01-02,PART_093,Controller,SupplierB,Asia Pacific,9,396,3,1107.08
2021-01-02,PART_094,Pump,SupplierD,Asia Pacific,46,2058,28,1824.7
2021-01-02,PART_095,Pump,SupplierD,Latin America,11,440,7,3926.79
2021-01-02,PART_096,Sensor,SupplierB,North America,72,3202,12,2789.07
2021-01-02,PART_097,Valve,SupplierC,North America,26,1010,4,350.75
2021-01-02,PART_098,Filter,SupplierB,Latin America,39,1586,28,871.73
2021-01-02,PART_099,Sensor,SupplierA,Asia Pacific,70,3223,7,2948.13
2021-01-02,PART_100,Controller,SupplierA,North America,19,839,6,113.89
2021-01-02,PART_101,Pump,SupplierD,North America,11,443,27,4823.29
2021-01-02,PART_102,Sensor,SupplierD,North America,49,2063,4,97.29
2021-01-02,PART_103,Pump,SupplierB,Europe,42,2121,8,1380.1
2021-01-02,PART_104,Filter,SupplierC,Latin America,9,485,29,1760.32
2021-01-02,PART_105,Controller,SupplierA,Asia Pacific,77,3250,19,2555.64
2021-01-02,PART_106,Filter,SupplierA,Europe,25,1179,12,4837.69
2021-01-02,PART_107,Filter,SupplierA,North America,44,2082,10,4374.65
2021-01-02,PART_108,Controller,SupplierD,North America,16,708,11,4071.44
2021-01-02,PART_109,Filter,SupplierD,Asia Pacific,4,221,29,1180.13
2021-01-02,PART_110,Filter,SupplierD,North America,48,3093,10,1674.5
2021-01-02,PART_111,Pump,SupplierD,Latin America,50,2907,5,4405.9
2021-01-02,PART_112,Controller,SupplierA,Europe,38,1712,14,1146.94
2021-01-02,PART_113,Valve,SupplierB,Latin America,46,2064,3,2206.41
2021-01-02,PART_114,Controller,SupplierB,Europe,28,1580,9,2768.39
2021-01-02,PART_115,Valve,SupplierB,Latin America,80,3410,21,731.54
2021-01-02,PART_116,Filter,SupplierD,Latin America,16,796,22,4443.79
2021-01-02,PART_117,Controller,SupplierC,Europe,44,1720,4,2808.23
2021-01-02,PART_118,Filter,SupplierC,Latin America,44,2432,21,854.14
2021-01-02,PART_119,Pump,SupplierD,Asia Pacific,28,2125,6,3391.42
2021-01-02,PART_120,Sensor,SupplierA,Europe,68,2987,24,73.87
2021-01-02,PART_121,Valve,SupplierC,Asia Pacific,9,663,11,1020.17
2021-01-02,PART_122,Valve,SupplierA,Europe,30,1850,3,2366.71
2021-01-02,PART_123,Pump,SupplierA,Latin America,21,2111,27,1310.12
2021-01-02,PART_124,Valve,SupplierA,North America,65,2733,13,3895.23
2021-01-02,PART_125,Filter,SupplierA,Asia Pacific,43,2502,11,607.84
2021-01-02,PART_126,Valve,SupplierC,Europe,15,704,5,4524.2
2021-01-02,PART_127,Filter,SupplierA,Europe,82,3264,5,2249.69
2021-01-02,PART_128,Filter,SupplierA,Asia Pacific,44,2696,17,2891.4
2021-01-02,PART_129,Sensor,SupplierB,Europe,35,1861,18,214.14
2021-01-02,PART_130,Valve,SupplierB,Latin America,24,1688,17,2473.87
2021-01-02,PART_131,Pump,SupplierC,Asia Pacific,12,838,15,725.61
2021-01-02,PART_132,Pump,SupplierC,Europe,39,1818,21,1580.52
2021-01-02,PART_133,Valve,SupplierA,Europe,59,3492,22,2305.83
2021-01-02,PART_134,Controller,SupplierA,Europe,8,443,13,2570.93
2021-01-02,PART_135,Filter,SupplierC,Europe,31,2174,28,1346.77
2021-01-02,PART_136,Pump,SupplierB,Asia Pacific,47,3329,7,4087.84
2021-01-02,PART_137,Filter,SupplierD,Europe,44,2076,26,2999.3
2021-01-02,PART_138,Sensor,SupplierB,Asia Pacific,32,2486,11,1037.31
2021-01-02,PART_139,Filter,SupplierA,Asia Pacific,11,707,12,2869.06
2021-01-02,PART_140,Pump,SupplierC,North America,53,2334,10,231.25
2021-01-02,PART_141,Valve,SupplierA,Asia Pacific,57,2618,5,3616.82
2021-01-02,PART_142,Valve,SupplierC,North America,3,222,23,3408.21
2021-01-02,PART_143,Valve,SupplierB,Latin America,33,3406,3,4864.11
2021-01-02,PART_144,Filter,SupplierB,Asia Pacific,40,2854,15,3553.16
2021-01-02,PART_145,Pump,SupplierB,North America,22,1601,6,2966.92
2021-01-02,PART_146,Sensor,SupplierD,North America,47,2628,12,591.5
2021-01-02,PART_147,Valve,SupplierA,Europe,6,753,27,2655.08
2021-01-02,PART_148,Pump,SupplierA,Europe,18,842,5,3140.05
2021-01-02,PART_149,Filter,SupplierD,Europe,58,3377,7,2824.46
2021-01-02,PART_150,Valve,SupplierA,North America,27,3113,12,4187.43
2021-01-02,PART_151,Controller,SupplierB,Latin America,23,1949,13,3325.99
2021-01-02,PART_152,Sensor,SupplierB,Latin America,38,1908,29,4463.11
2021-01-02,PART_153,Filter,SupplierD,Latin America,3,221,24,4599.3
2021-01-02,PART_154,Pump,SupplierD,North America,18,1113,15,2358.42
2021-01-02,PART_155,Controller,SupplierC,Europe,62,3427,6,4710.12
2021-01-02,PART_156,Filter,SupplierB,Asia Pacific,14,885,8,4735.92
2021-01-02,PART_157,Pump,SupplierC,Europe,45,3491,19,876.44
2021-01-02,PART_158,Controller,SupplierC,North America,56,3275,7,1763.12
2021-01-02,PART_159,Sensor,SupplierB,North America,24,1910,27,4457.77
2021-01-02,PART_160,Pump,SupplierB,Latin America,34,2420,5,3701.17
